config,model_name,generator,use_ambisonic,rotate_canonical,use_waveform,use_n2_features,use_distance_bins,use_rgb,depth_dir,rep_kind,rep_K,gt_energy_window,depth_weight,foa_weight,hist_weight,kl_weight,lambda_sh,lambda_energy,lambda_sparsity,lambda_kl_energy,lambda_kd,epochs,lr,batch_size,val_iter,freeze_epochs
pvit_n1_temap_mssh.yaml,pvit_n1_temap_mssh,pvit_n1_temap_mssh,true,true,,true,,,,,,,1.0,,,,0.1,,,,,40,0.0001,16,4,
pvit_n1_temap_rms_film.yaml,pvit_n1_temap_rms_film,pvit_n1_temap_rms_film,true,true,,true,,,,,,,1.0,,,,0.1,,,,,40,0.0001,16,4,
pvitfoa_v3_distill.yaml,pretrained_vit_foa_v3,pretrained_vit_foa_v3,true,true,,,,,,,,,1.0,,,,0.1,,,,0.0,40,0.0001,16,4,
pvitfoa_v3_eattn.yaml,pretrained_vit_foa_v6_eattn,pretrained_vit_foa_v6_eattn,true,true,,,,,,,,,1.0,,,,0.1,0.0,,,,40,0.0001,16,4,
pvitfoa_v3_film_dw2.yaml,pretrained_vit_foa_v3,pretrained_vit_foa_v3,true,true,,,,,,,,,2.0,,,,0.1,,,,,40,0.0001,16,4,
pvitfoa_v3_freeze20.yaml,pretrained_vit_foa_v3,pretrained_vit_foa_v3,true,true,,,,,,,,,1.0,,,,0.1,,,,,40,0.0001,16,4,
pvitfoa_v3_mssh.yaml,pretrained_vit_foa_v6_mssh,pretrained_vit_foa_v6_mssh,true,true,,,,,,,,,1.0,,,,0.1,,,,,40,0.0001,16,4,
pvitfoa_v3_oracle_nc3.yaml,pretrained_vit_foa_v6_oracle_nc3,pretrained_vit_foa_v6_oracle_nc3,true,true,,,,,,,,,1.0,,,,0.1,,,,,40,0.0001,16,4,
renew_dpt_only.yaml,renew_dpt_only,renew_single,true,true,,,,,,,,early_mid,1.0,,,,0.3,0.1,,0.05,,40,0.0001,32,2,3
renew_dpt_only_nokl.yaml,renew_dpt_only,renew_single,true,true,,,,,,,,early_mid,1.0,,,,0.3,0.1,,0.0,,40,0.0001,32,2,3
renew_dpt_only_nokl_radial.yaml,renew_dpt_only,renew_single,true,true,,,,,erp_depth_radial,,,early_mid,1.0,,,,0.3,0.1,,0.0,,40,0.0001,32,2,3
renew_dpt_only_radial.yaml,renew_dpt_only,renew_single,true,true,,,,,erp_depth_radial,,,early_mid,1.0,,,,0.3,0.1,,0.05,,40,0.0001,32,2,3
renew_single.yaml,renew_single,renew_single,true,true,,,,,,,,early_mid,1.0,,,,0.1,0.1,,0.1,,40,0.0001,8,4,
renew_single_radial.yaml,renew_single,renew_single,true,true,,,,,erp_depth_radial,,,early_mid,1.0,,,,0.1,0.1,,0.1,,40,0.0001,8,4,
renew_single_v2.yaml,renew_single,renew_single,true,true,,,,,,,,early_mid,1.0,,,,0.3,0.1,,0.05,,40,0.0001,32,2,3
renew_single_v2_radial.yaml,renew_single,renew_single,true,true,,,,,erp_depth_radial,,,early_mid,1.0,,,,0.3,0.1,,0.05,,40,0.0001,32,2,3
vit.yaml,vit_baseline,vit,false,,,,,,,,,,,,,,,,,,,40,0.0001,32,4,
