path,type,size_estimate,matched_run_id,notes
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp930_haz_R4_00_rawhit_repro_lr1e4_bs48_r2,checkpoint,1.6G,,no ledger row matches (extracted exp_id=exp930)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp931_haz_R4_01_eventnll_free_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp931)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp932_haz_R4_02_eventnll_only_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp932)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp933_haz_R4_03_survival_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp933)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp934_haz_R4_04_softhit_t075_lr1e4_bs48_r2,checkpoint,4.0G,,no ledger row matches (extracted exp_id=exp934)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp936_R5A_sq_q050_t005_l025_bs48_r3,checkpoint,5.5G,,no ledger row matches (extracted exp_id=exp936)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp937_R5A_sq_q045_t005_l025_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp937)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp938_R5A_sq_q055_t005_l025_bs48_r3,checkpoint,5.5G,,no ledger row matches (extracted exp_id=exp938)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp939_R5A_sq_q050_t003_l025_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp939)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp940_R5A_sq_q045_t003_l025_bs48_r3,checkpoint,7.1G,,no ledger row matches (extracted exp_id=exp940)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp941_R5A_sq_q050_t005_l050_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp941)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp942_R5A_sq_q045_t005_l050_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp942)
