path,type,size_estimate,matched_run_id,notes
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp944_R5B_sh_L2_l002_logd_bs48_r3,result,6.6M,,no ledger row matches (extracted exp_id=exp944)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp945_R5B_sh_L2_l005_logd_bs48_r3,result,7.0M,,no ledger row matches (extracted exp_id=exp945)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp946_R5B_sh_L2_l010_logd_bs48_r3,result,7.3M,,no ledger row matches (extracted exp_id=exp946)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp947_R5B_sh_L3_l002_logd_bs48_r3,result,6.7M,,no ledger row matches (extracted exp_id=exp947)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp948_R5B_sh_L3_l005_logd_bs48_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp948)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp949_R5B_sh_L2_l002_lin_bs48_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp949)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp950_R5C_combo_q050_sh002_bs48_r3,result,6.6M,,no ledger row matches (extracted exp_id=exp950)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp951_R5C_combo_q050_sh005_bs48_r3,result,6.9M,,no ledger row matches (extracted exp_id=exp951)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp952_R5C_combo_q045_sh002_bs48_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp952)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp953_R5C_combo_q055_sh002_bs48_r3,result,6.9M,,no ledger row matches (extracted exp_id=exp953)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp954_R5D_cyl_horiz_base_bs48_r3,result,6.9M,,no ledger row matches (extracted exp_id=exp954)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp955_R5D_cyl_horiz_sq_bs48_r3,result,6.4M,,no ledger row matches (extracted exp_id=exp955)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp956_R5D_cyl_horiz_sh_bs48_r3,result,6.9M,,no ledger row matches (extracted exp_id=exp956)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp957_R5E_haz_softhit075_bs48_r3,result,6.5M,,no ledger row matches (extracted exp_id=exp957)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp968_R4B_sh_L2_l008_logd_bs48_r4,result,6.7M,,no ledger row matches (extracted exp_id=exp968)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp969_R4B_sh_L2_l015_logd_bs48_r4,result,6.7M,,no ledger row matches (extracted exp_id=exp969)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp970_R4B_sh_L2_l020_logd_bs48_r4,result,6.8M,,no ledger row matches (extracted exp_id=exp970)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp971_R4B_sh_l010_sq_q050_t003_bs48_r4,result,6.7M,,no ledger row matches (extracted exp_id=exp971)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp972_R4B_sh_l010_no_farmask_bs48_r4,result,6.6M,,no ledger row matches (extracted exp_id=exp972)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp973_R4G_sq_q050_t002_l025_bs48_r4,result,6.7M,,no ledger row matches (extracted exp_id=exp973)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp974_R4G_sq_q050_t003_l050_sh010_bs48_r4,result,6.6M,,no ledger row matches (extracted exp_id=exp974)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp975_R4G_sq_q050_t003_l100_bs48_r4,result,6.6M,,no ledger row matches (extracted exp_id=exp975)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp976_R4H_haz_event_nll_sh010_bs48_r4,result,6.7M,,no ledger row matches (extracted exp_id=exp976)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp977_R4H_haz_softhit075_sh010_bs48_r4,result,7.0M,,no ledger row matches (extracted exp_id=exp977)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp900_echorange_scalar_lr1e4_bs64,result,2.1M,,no ledger row matches (extracted exp_id=exp900)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp901_echorange_4log_d10_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp901)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp901_echorange_64log_lr1e4_bs64,result,544K,,no ledger row matches (extracted exp_id=exp901)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp902_echorange_48log_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp902)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp902_echorange_8log_d10_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp902)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp903_echorange_16log_d10_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp903)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp903_echorange_64log_median_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp903)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp904_echorange_32log_d10_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp904)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp905_echorange_32log_d10_sig30_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp905)
results/echorange_soundspaces_BS64_Lr0.0001_AdamW_exp906_echorange_32log_d10_coslat_farmask_lr1e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp906)
results/n9_0424_soundspaces_BS64_Lr0.0001_AdamW_exp393_n9B_lr1e4_lsh01,result,0,,no ledger row matches (extracted exp_id=exp393)
results/pretrained_resnet_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_resnet,result,0,,no ledger row matches (extracted exp_id=none)
results/pretrained_vit_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_pretrain_vit,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS12_Lr0.001_AdamW_our_hope_foa_v2_js_rgb,result,4.8M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS16_Lr0.001_AdamW_second_hope_foa_v2_js_rgb,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_baseline,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_batvision,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.0001_AdamW_exp134_foa0415v1_lr1e4_lsh0.1,result,14M,,no ledger row matches (extracted exp_id=exp134)
results/unet_256_soundspaces_BS32_Lr0.0001_AdamW_exp139_foa0415v2_lr1e4_lsh0.1,result,14M,,no ledger row matches (extracted exp_id=exp139)
results/unet_256_soundspaces_BS32_Lr0.0001_AdamW_exp144_foa0415v3_lr1e4_lsh0.1,result,14M,,no ledger row matches (extracted exp_id=exp144)
results/unet_256_soundspaces_BS32_Lr0.0001_AdamW_exp149_foa0415v4_lr1e4_lsh0.1,result,14M,,no ledger row matches (extracted exp_id=exp149)
results/unet_256_soundspaces_BS32_Lr0.0001_AdamW_exp154_foa0415v5_lr1e4_lsh0.1,result,15M,,no ledger row matches (extracted exp_id=exp154)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp132_foa0415v1_lr5e4_lsh0.1,result,13M,,no ledger row matches (extracted exp_id=exp132)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp133_foa0415v1_lr5e4_lsh0.5,result,13M,,no ledger row matches (extracted exp_id=exp133)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp137_foa0415v2_lr5e4_lsh0.1,result,13M,,no ledger row matches (extracted exp_id=exp137)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp138_foa0415v2_lr5e4_lsh0.5,result,13M,,no ledger row matches (extracted exp_id=exp138)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp142_foa0415v3_lr5e4_lsh0.1,result,13M,,no ledger row matches (extracted exp_id=exp142)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp143_foa0415v3_lr5e4_lsh0.5,result,13M,,no ledger row matches (extracted exp_id=exp143)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp147_foa0415v4_lr5e4_lsh0.1,result,13M,,no ledger row matches (extracted exp_id=exp147)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp148_foa0415v4_lr5e4_lsh0.5,result,13M,,no ledger row matches (extracted exp_id=exp148)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp152_foa0415v5_lr5e4_lsh0.1,result,14M,,no ledger row matches (extracted exp_id=exp152)
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp153_foa0415v5_lr5e4_lsh0.5,result,13M,,no ledger row matches (extracted exp_id=exp153)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa,result,570M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_channelattn,result,546M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_crossattn,result,562M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_featbank,result,568M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_msattn,result,571M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_CW_rot_foa_v2,result,490M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp130_foa0415v1_lr1e3_lsh0.1,result,698M,,no ledger row matches (extracted exp_id=exp130)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp131_foa0415v1_lr1e3_lsh0.3,result,13M,,no ledger row matches (extracted exp_id=exp131)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp135_foa0415v2_lr1e3_lsh0.1,result,685M,,no ledger row matches (extracted exp_id=exp135)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp136_foa0415v2_lr1e3_lsh0.3,result,13M,,no ledger row matches (extracted exp_id=exp136)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp140_foa0415v3_lr1e3_lsh0.1,result,686M,,no ledger row matches (extracted exp_id=exp140)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp141_foa0415v3_lr1e3_lsh0.3,result,13M,,no ledger row matches (extracted exp_id=exp141)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp145_foa0415v4_lr1e3_lsh0.1,result,709M,,no ledger row matches (extracted exp_id=exp145)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp146_foa0415v4_lr1e3_lsh0.3,result,13M,,no ledger row matches (extracted exp_id=exp146)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp150_foa0415v5_lr1e3_lsh0.1,result,724M,,no ledger row matches (extracted exp_id=exp150)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp151_foa0415v5_lr1e3_lsh0.3,result,13M,,no ledger row matches (extracted exp_id=exp151)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp224_n3mssh_sh9_lr1e3_lsh0.3,result,14M,,no ledger row matches (extracted exp_id=exp224)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_feat_attn_foa_v2_js,result,305M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_foa_attn_foa_v2_js,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_foa_basic_js_foa_v2_js,result,302M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_foa_feat_attn_v2_foa_v2_js,result,288M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_full_run_foa,result,9.5M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_full_run_foa_v2_js,result,4.4M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_js_smoke,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_sh_coeff_hierarch_foa_v2_js,result,621M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_smoke_test_foa_v2_js,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_test_dryrun,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_test_dryrun_n3film,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_test_dryrun_n3film_4ep,result,1.1M,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_test_dryrun_oracle_nc3,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS4_Lr0.001_AdamW_full_run_foa_v2_js_rgb,result,720K,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS4_Lr0.001_AdamW_our_hope_foa_v2_js_rgb,result,488K,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS4_Lr0.001_AdamW_second_hope_foa_v2_js_rgb,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_baseline,result,0,,no ledger row matches (extracted exp_id=none)
results/unet_256_soundspaces_BS8_Lr0.001_AdamW_second_hope_foa_v2_js_rgb,result,508K,,no ledger row matches (extracted exp_id=none)
results/vit_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_vit,result,0,,no ledger row matches (extracted exp_id=none)
results/vit_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_vit,result,0,,no ledger row matches (extracted exp_id=none)
logs/echodiff_ambi_cide_test,log,8.0K,,no ledger row matches (extracted exp_id=none)
logs/n2_revisit,log,0,,no ledger row matches (extracted exp_id=none)
logs/n3_revisit,log,0,,no ledger row matches (extracted exp_id=none)
logs/n3_revisit_test,log,0,,no ledger row matches (extracted exp_id=none)
logs/n9_0427_test,log,1.5M,,no ledger row matches (extracted exp_id=none)
logs/n9_0427_train,log,628K,,no ledger row matches (extracted exp_id=none)
logs/round1_bin-based,log,4.0G,,no ledger row matches (extracted exp_id=none)
logs/smoke,log,36K,,no ledger row matches (extracted exp_id=none)
logs/train_foa_our_hope.log,log,8.0K,,no ledger row matches (extracted exp_id=none)
logs/n3_bulk.out,log,4.0K,,no ledger row matches (extracted exp_id=none)
